Collection Date,App Name,App Developer,App Category,App Pop Rank,App Download,App Review Count,App Charge,App Limit
2021-07-05 21:30,오딘: 발할라 라이징,Kakao Games Corp.,롤플레잉,1,"500,000+","60,834",Free,18세 이상
2021-07-05 21:30,히어로즈 테일즈,37 Mobile Games,롤플레잉,2,"100,000+","1,749",Free,12세 이상
2021-07-05 21:30,Brain Rush - Brain Hole Bang,MNMFUN,퍼즐,3,"1,000,000+","8,542",Free,15세 이상
2021-07-05 21:30,Bubble Ouch: Pop it Fidgets & Bubble Wrap Game,WannaPlay LLC,캐주얼 게임,4,"1,000,000+",964,Free,전체이용가
2021-07-05 21:30,FNF music battle:Girlfriend’s Ex-Tabi vs Boyfriend,tung son,음악,5,"100,000+","1,473",Free,전체이용가
2021-07-05 21:30,X2: 이클립스,Netease Games Global,롤플레잉,6,"50,000+","1,708",Free,12세 이상
2021-07-05 21:30,비홍지경,withHUG,롤플레잉,7,"100,000+","4,603",Free,12세 이상
2021-07-05 21:30,소녀X헌터,Sincetimes Inc.,롤플레잉,8,"100,000+","3,106",Free,18세 이상
2021-07-05 21:30,"Fidget Toys 3D - Fidget Cube, AntiStress & Calm",Fidget Dev,시뮬레이션,9,"10,000,000+","67,442",Free,전체이용가
2021-07-05 21:30,블라스트M,Longtu Korea Inc.,롤플레잉,10,"100,000+","1,503",Free,12세 이상
2021-07-05 21:30,Kaiju Run,HOMA GAMES,캐주얼 게임,11,"1,000,000+","11,974",Free,전체이용가
2021-07-05 21:30,마스터 카운트: 군중 클래시 & 스틱맨 달리기 게임,Freeplay Inc,액션,12,"10,000,000+","76,524",Free,전체이용가
2021-07-05 21:30,무한의 계단,NFLY STUDIO,아케이드,13,"10,000,000+","465,750",Free,만 3세 이상
2021-07-05 21:30,Super Pop It Simulator: ASMR Relax,Brothers Apps And Games,시뮬레이션,14,"500,000+","2,337",Free,만 3세 이상
2021-07-05 21:30,한국밈 피하기,REDNOSE GAMES,아케이드,15,"500,000+","4,606",Free,전체이용가
2021-07-05 21:30,마이리틀포레스트,Gamepub,시뮬레이션,16,"500,000+","7,767",Free,전체이용가
2021-07-05 21:30,Paper Fold,Good Job Games,퍼즐,17,"10,000,000+","249,406",Free,전체이용가
2021-07-05 21:30,퍼즐 오브 Z,"BLANCOZONE NETWORK CO., LIMITED",롤플레잉,18,"100,000+","4,564",Free,12세 이상
2021-07-05 21:30,냥코 대전쟁,PONOS Corporation,캐주얼 게임,19,"5,000,000+","181,803",Free,만 3세 이상
2021-07-05 21:30,지방이 적합!,VOODOO,캐주얼 게임,20,"10,000,000+","33,910",Free,전체이용가
2021-07-05 21:30,제2의 나라: CROSS WORLDS,Netmarble,롤플레잉,21,"1,000,000+","61,337",Free,12세 이상
2021-07-05 21:30,Undertale but FNF gameplay,Ga Me Pi,음악,22,"100,000+","1,859",Free,전체이용가
2021-07-05 21:30,행복한 색칠나라,Lion Studios,시뮬레이션,23,"10,000,000+","98,009",Free,12세 이상
2021-07-05 21:30,매직 타일 3,AMANOTES PTE LTD,음악,24,"100,000,000+","2,436,162",Free,만 3세 이상
2021-07-05 21:30,쿠키런: 오븐브레이크 - 쿠키들의 러닝 게임!,Devsisters Corporation,아케이드,25,"10,000,000+","901,795",Free,만 3세 이상
2021-07-05 21:30,Tape Thrower,HOMA GAMES,액션,26,"1,000,000+","5,265",Free,전체이용가
2021-07-05 21:30,Hair Challenge,Rollic Games,액션,27,"50,000,000+","464,256",Free,전체이용가
2021-07-05 21:30,쿠키런: 킹덤,Devsisters Corporation,롤플레잉,28,"5,000,000+","346,614",Free,전체이용가
2021-07-05 21:30,시크릿 쥬쥬 : 쥬쥬 코디 놀이,Moggozi,캐주얼 게임,29,"100,000+",793,Free,전체이용가
2021-07-05 21:30,Music Fighter Bomb head guy,tung son,음악,30,"100,000+",706,Free,전체이용가
2021-07-05 21:30,ROBLOX,Roblox Corporation,어드벤처,31,"100,000,000+","22,532,766",Free,전체이용가
2021-07-05 21:30,워드퍼즐 - 단어 게임! 재미있는 무료 단어 퍼즐,Kerun Games,퍼즐,32,"1,000,000+","69,033",Free,전체이용가
2021-07-05 21:30,백야극광,PROXIMA BETA,롤플레잉,33,"500,000+","66,611",Free,전체이용가
2021-07-05 21:30,스시 롤 3D (Sushi Roll 3D) - 음식 게임 ASMR,SayGames,시뮬레이션,34,"50,000,000+","241,518",Free,12세 이상
2021-07-05 21:30,Among Us,Innersloth LLC,액션,35,"100,000,000+","12,135,860",Free,만 7세 이상
2021-07-05 21:30,마이티 파워: 배틀 히어로즈. 매직 레전드.,PANORAMIK GAMES LTD,롤플레잉,36,"10,000,000+","276,541",Free,만 12세 이상
2021-07-05 21:30,Craft World - Master Building Block Game 3D,Master Craft Game 3D,시뮬레이션,37,"1,000,000+","7,882",Free,전체이용가
2021-07-05 21:30,피쉬돔 (Fishdom),Playrix,퍼즐,38,"100,000,000+","4,953,789",Free,만 3세 이상
2021-07-05 21:30,Like A Dino!,Hyun-joong Kim,음악,39,"5,000,000+","214,988",Free,전체이용가
2021-07-05 21:30,건담 슈프림 배틀,BANDAI NAMCO Entertainment Inc.,액션,40,"50,000+","2,891",Free,전체이용가
2021-07-05 21:30,천상나르샤,Eyougame Inc.,롤플레잉,41,"100,000+","3,966",Free,15세 이상
2021-07-05 21:30,"FNF Mod Garcello, Tricky, Satoru - Full Battle",Zaliasu,음악,42,"100,000+","1,756",Free,12세 이상
